State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NT,0800,Darwin,2016-17,1 year,90.0-92.4,#
NT,0810,"Nightcliff, Rapid Creek, Coconut Grove, Millner, Tiwi and 11 others",2016-17,1 year,92.5-94.9, 
NT,0812,"Karama, Leanyer, Malak, Wulagi, Anula and 3 others",2016-17,1 year,90.0-92.4, 
NT,0820,"Stuart Park, Larrakeyah, Fannie Bay, Parap, Ludmilla and 9 others",2016-17,1 year,90.0-92.4, 
NT,0822,"East Arnhem, West Arnhem, Maningrida, Galiwinku, Wadeye and 96 others",2016-17,1 year,92.5-94.9, 
NT,0828,"Berrimah, Knuckey Lagoon",2016-17,1 year,NP, 
NT,0830,"Woodroffe, Gray, Moulden, Driver, Durack and 6 others",2016-17,1 year,92.5-94.9, 
NT,0832,"Rosebery, Bakewell, Gunn, Johnston, Bellamack and 3 others",2016-17,1 year,92.5-94.9, 
NT,0834,Virginia,2016-17,1 year,NP, 
NT,0835,Howard Springs,2016-17,1 year,95.0-100.0,#
NT,0836,"Humpty Doo, Girraween, Herbert",2016-17,1 year,90.0-92.4,#
NT,0837,"Noonamah, Manton",2016-17,1 year,NP, 
NT,0838,Berry Springs,2016-17,1 year,NP, 
NT,0839,Coolalinga,2016-17,1 year,92.5-94.9,#
NT,0841,Darwin River,2016-17,1 year,NP, 
NT,0845,Batchelor,2016-17,1 year,NP, 
NT,0846,Adelaide River,2016-17,1 year,NP, 
NT,0847,Pine Creek,2016-17,1 year,NP, 
NT,0850,"Katherine, Katherine East, Katherine South, Cossack, Emungalan and 1 other",2016-17,1 year,85.0-89.9, 
NT,0852,"Victoria River, Elsey, Ngukurr, Lajamanu, Beswick and 45 others",2016-17,1 year,85.0-89.9, 
NT,0853,Tindal,2016-17,1 year,NP, 
NT,0854,"Borroloola, King Ash Bay",2016-17,1 year,NP, 
NT,0860,Tennant Creek,2016-17,1 year,NP, 
NT,0862,"Elliott, Nicholson, Calvert, Newcastle Waters, Pamayu and 3 others",2016-17,1 year,NP, 
NT,0870,"Gillen, Braitling, East Side, Araluen, Sadadeen and 6 others",2016-17,1 year,90.0-92.4, 
NT/SA/WA,0872,"Yuendumu, Sandover, Anmatjere, Hugh, Yulara and 77 others",2016-17,1 year,95.0-100.0, 
NT,0874,"Mount Johns, Irlpme, Undoolya",2016-17,1 year,NP, 
NT,0875,"Larapinta, Flynn",2016-17,1 year,NP, 
NT,0880,"Nhulunbuy, Gapuwiyak, Yirrkala, Gunyangara",2016-17,1 year,92.5-94.9,#
NT,0885,Alyangula,2016-17,1 year,NP, 
NT,0886,Jabiru,2016-17,1 year,NP, 
