"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","50101","Augusta - Margaret River - Busselton","A","Annual","2011","2011",20483,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","50101","Augusta - Margaret River - Busselton","A","Annual","2012","2012",21752,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","50101","Augusta - Margaret River - Busselton","A","Annual","2013","2013",23464,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","50101","Augusta - Margaret River - Busselton","A","Annual","2014","2014",24553,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","50101","Augusta - Margaret River - Busselton","A","Annual","2015","2015",26076,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","50401","Bayswater - Bassendean","A","Annual","2011","2011",37,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","50401","Bayswater - Bassendean","A","Annual","2012","2012",36,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","50401","Bayswater - Bassendean","A","Annual","2013","2013",36,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","50401","Bayswater - Bassendean","A","Annual","2014","2014",36,,
"INCOME_20","Employee income earners - median age (years)","SA3","Statistical Area Level 3","50401","Bayswater - Bassendean","A","Annual","2015","2015",37,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51001","Kimberley","A","Annual","2011","2011",38,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51001","Kimberley","A","Annual","2012","2012",38,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51001","Kimberley","A","Annual","2013","2013",38,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51001","Kimberley","A","Annual","2014","2014",38,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","51001","Kimberley","A","Annual","2015","2015",38,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","12504","Parramatta","A","Annual","2011","2011",64167,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","12504","Parramatta","A","Annual","2012","2012",65222,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","12504","Parramatta","A","Annual","2013","2013",67674,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","12504","Parramatta","A","Annual","2014","2014",70202,,
"INCOME_4","Employee income earners (no.)","SA3","Statistical Area Level 3","12504","Parramatta","A","Annual","2015","2015",74542,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","30101","Capalaba","A","Annual","2011","2011",43466,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","30101","Capalaba","A","Annual","2012","2012",45452,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","30101","Capalaba","A","Annual","2013","2013",46763,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","30101","Capalaba","A","Annual","2014","2014",47718,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","30101","Capalaba","A","Annual","2015","2015",48922,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",47088,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2012","2012",49391,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2013","2013",50893,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2014","2014",52629,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2015","2015",54359,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","21602","Moira","A","Annual","2011","2011",434357711,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","21602","Moira","A","Annual","2012","2012",463525126,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","21602","Moira","A","Annual","2013","2013",490048046,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","21602","Moira","A","Annual","2014","2014",516193692,,
"INCOME_3","Total employee income ($)","SA3","Statistical Area Level 3","21602","Moira","A","Annual","2015","2015",555184020,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","40201","Gawler - Two Wells","A","Annual","2011","2011",43,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","40201","Gawler - Two Wells","A","Annual","2012","2012",43,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","40201","Gawler - Two Wells","A","Annual","2013","2013",44,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","40201","Gawler - Two Wells","A","Annual","2014","2014",44,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","40201","Gawler - Two Wells","A","Annual","2015","2015",44,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31608","Noosa Hinterland","A","Annual","2011","2011",64.9,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31608","Noosa Hinterland","A","Annual","2012","2012",64.9,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31608","Noosa Hinterland","A","Annual","2013","2013",64.3,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31608","Noosa Hinterland","A","Annual","2014","2014",65.6,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31608","Noosa Hinterland","A","Annual","2015","2015",64.9,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","10301","Bathurst","A","Annual","2011","2011",43,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","10301","Bathurst","A","Annual","2012","2012",43,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","10301","Bathurst","A","Annual","2013","2013",44,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","10301","Bathurst","A","Annual","2014","2014",44,,
"INCOME_35","Total income earners (excl. Government pensions and allowances) - median age (years)","SA3","Statistical Area Level 3","10301","Bathurst","A","Annual","2015","2015",44,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31004","Springfield - Redbank","A","Annual","2011","2011",89,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31004","Springfield - Redbank","A","Annual","2012","2012",89.2,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31004","Springfield - Redbank","A","Annual","2013","2013",89,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31004","Springfield - Redbank","A","Annual","2014","2014",88.9,,
"INCOME_22","Employee income as main source of income (%)","SA3","Statistical Area Level 3","31004","Springfield - Redbank","A","Annual","2015","2015",88,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","12503","Merrylands - Guildford","A","Annual","2011","2011",39825,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","12503","Merrylands - Guildford","A","Annual","2012","2012",41406,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","12503","Merrylands - Guildford","A","Annual","2013","2013",42348,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","12503","Merrylands - Guildford","A","Annual","2014","2014",43051,,
"INCOME_2","Median employee income ($)","SA3","Statistical Area Level 3","12503","Merrylands - Guildford","A","Annual","2015","2015",44000,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2011","2011",52939,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2012","2012",56734,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2013","2013",58125,,
"INCOME_21","Mean employee income ($)","SA3","Statistical Area Level 3","10602","Maitland","A","Annual","2014","2014",58639,,
