"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",57.5,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",61.1,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",2.3,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",3.3,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",1.4,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",1.7,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",10.6,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",12.8,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",8.8,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",10.2,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",22,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",23,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",12.3,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",10.2,,
