"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2011","2011",11.8,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",12.4,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","10202","Wyong","A","Annual","2011","2011",12.3,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","10202","Wyong","A","Annual","2016","2016",12.8,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11501","Baulkham Hills","A","Annual","2011","2011",11.1,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11501","Baulkham Hills","A","Annual","2016","2016",11.8,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2011","2011",12.4,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",12.9,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",11.9,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",12,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",10.4,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",10.3,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2011","2011",10.9,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",11.5,,
"UNPAIDW_2","Persons who provided unpaid assistance to a person with a disability (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",9.8,,
