"","Postcode","Electoral division","Per cent","DivisionID","StateAb","CandidateID","GivenNm","Surname","PartyNm","PartyAb"
"1","0800","Solomon",100,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"2","0810","Solomon",100,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"3","0812","Solomon",100,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"4","0820","Solomon",100,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"5","0822","Lingiari",96.1,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"6","0822","Solomon",3.9,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"7","0828","Solomon",100,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"8","0830","Solomon",100,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"9","0832","Solomon",100,307,"NT",28737,"Luke","GOSLING","Australian Labor Party","ALP"
"10","0835","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"11","0836","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"12","0837","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"13","0838","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"14","0840","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"15","0841","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"16","0845","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"17","0846","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"18","0847","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"19","0850","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"20","0852","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"21","0853","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"22","0854","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"23","0860","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"24","0862","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"25","0870","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"26","0872","Grey",11.4,183,"SA",29569,"Rowan","RAMSEY","Liberal","LP"
"27","0872","Lingiari",88.6,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"28","0880","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"29","0885","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"30","0886","Lingiari",100,306,"NT",28735,"Warren","SNOWDON","Australian Labor Party","ALP"
"31","2000","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"32","2006","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"33","2007","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"34","2008","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"35","2009","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"36","2010","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"37","2011","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"38","2015","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"39","2016","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"40","2017","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"41","2018","Kingsford Smith",69.5,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"42","2018","Sydney",30.5,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"43","2019","Kingsford Smith",100,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"44","2020","Kingsford Smith",100,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"45","2021","Sydney",34.4,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"46","2021","Wentworth",65.6,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"47","2022","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"48","2023","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"49","2024","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"50","2025","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"51","2026","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"52","2027","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"53","2028","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"54","2029","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"55","2030","Wentworth",100,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"56","2031","Kingsford Smith",42.4,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"57","2031","Wentworth",57.6,152,"NSW",28638,"Malcolm","TURNBULL","Liberal","LP"
"58","2032","Kingsford Smith",100,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"59","2033","Kingsford Smith",100,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"60","2034","Kingsford Smith",100,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"61","2035","Kingsford Smith",100,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"62","2036","Kingsford Smith",100,127,"NSW",29083,"Matt","THISTLETHWAITE","Australian Labor Party","ALP"
"63","2037","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"64","2038","Grayndler",73.6,121,"NSW",29343,"Anthony","ALBANESE","Australian Labor Party","ALP"
"65","2038","Sydney",26.4,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"66","2039","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"67","2040","Grayndler",100,121,"NSW",29343,"Anthony","ALBANESE","Australian Labor Party","ALP"
"68","2041","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"69","2042","Grayndler",58,121,"NSW",29343,"Anthony","ALBANESE","Australian Labor Party","ALP"
"70","2042","Sydney",42,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"71","2043","Sydney",100,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"72","2044","Grayndler",100,121,"NSW",29343,"Anthony","ALBANESE","Australian Labor Party","ALP"
"73","2045","Lowe",100,NA,NA,NA,NA,NA,NA,NA
"74","2046","Lowe",100,NA,NA,NA,NA,NA,NA,NA
"75","2047","Lowe",100,NA,NA,NA,NA,NA,NA,NA
"76","2048","Grayndler",100,121,"NSW",29343,"Anthony","ALBANESE","Australian Labor Party","ALP"
"77","2049","Grayndler",100,121,"NSW",29343,"Anthony","ALBANESE","Australian Labor Party","ALP"
"78","2050","Grayndler",65.3,121,"NSW",29343,"Anthony","ALBANESE","Australian Labor Party","ALP"
"79","2050","Sydney",34.7,149,"NSW",29079,"Tanya","PLIBERSEK","Australian Labor Party","ALP"
"80","2060","North Sydney",100,137,"NSW",28567,"Trent","ZIMMERMAN","Liberal","LP"
"81","2061","North Sydney",100,137,"NSW",28567,"Trent","ZIMMERMAN","Liberal","LP"
"82","2062","North Sydney",100,137,"NSW",28567,"Trent","ZIMMERMAN","Liberal","LP"
"83","2063","North Sydney",100,137,"NSW",28567,"Trent","ZIMMERMAN","Liberal","LP"
"84","2064","North Sydney",100,137,"NSW",28567,"Trent","ZIMMERMAN","Liberal","LP"
