Postcode,Electoral division,Per cent postcode in electorate,DivisionID2016,StateAB2016,CandidateID2016,GivenNm2016,Surname2016,PartyNm2016,PartyAb2016,DivisionID2010,StateAb2010,CandidateID2010,GivenNm2010,Surname2010,PartyNm2010,PartyAb2010,DivisionID2013,StateAb2013,CandidateID2013,GivenNm2013,Surname2013,PartyNm2013,PartyAb2013
0800,Solomon,100,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0810,Solomon,100,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0812,Solomon,100,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0820,Solomon,100,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0822,Lingiari,96.1,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0822,Solomon,3.9,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0828,Solomon,100,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0830,Solomon,100,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0832,Solomon,100,307,NT,28737,Luke,GOSLING,Australian Labor Party,ALP,307,NT,21477,Natasha,GRIGGS,CLP - The Territory Party,CLP,307,NT,23502,Natasha,GRIGGS,Country Liberals (NT),CLP
0835,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0836,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0837,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0838,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0840,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0841,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0845,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
