state,postcode,year,age,pc_immun,caution,pc_immun_class,PHN_code,PHN_number
NSW,2482,2015,1,<70.0,1,1,PHN109,109
NSW,2482,2015,2,<70.0,1,1,PHN109,109
QLD,4552,2015,2,<70.0,1,1,PHN306,306
WA,6333,2015,2,<70.0,1,1,PHN503,503
NSW,2482,2015,5,<70.0,1,1,PHN109,109
NSW,2482,2014,1,<70.0,1,1,PHN109,109
QLD,4552,2014,1,<70.0,1,1,PHN306,306
WA,6333,2014,1,<70.0,1,1,PHN503,503
NSW,2479,2014,2,<70.0,1,1,PHN109,109
NSW,2482,2014,2,<70.0,1,1,PHN109,109
NSW,2483,2014,2,<70.0,0,1,PHN109,109
VIC,3460,2014,2,<70.0,1,1,PHN206,206
QLD,4552,2014,2,<70.0,1,1,PHN306,306
SA,5021,2014,2,<70.0,1,1,PHN401,401
WA,6004,2014,2,<70.0,1,1,PHN501,501
WA,6159,2014,2,<70.0,1,1,PHN502,502
WA,6333,2014,2,<70.0,1,1,PHN503,503
NT,0800,2014,5,<70.0,1,1,PHN701,701
NSW,2061,2014,5,<70.0,1,1,PHN102,102
NSW,2479,2014,5,<70.0,1,1,PHN109,109
NSW,2481,2014,5,<70.0,0,1,PHN109,109
NSW,2482,2014,5,<70.0,1,1,PHN109,109
NSW,2483,2014,5,<70.0,0,1,PHN109,109
VIC,3004,2014,5,<70.0,1,1,PHN203,203
VIC,3006,2014,5,<70.0,1,1,PHN201,201
QLD,4552,2014,5,<70.0,1,1,PHN306,306
WA,6004,2014,5,<70.0,1,1,PHN501,501
WA,6333,2014,5,<70.0,1,1,PHN503,503
NSW,2482,2013,1,<70.0,1,1,PHN109,109
NSW,2483,2013,1,<70.0,0,1,PHN109,109
VIC,3000,2013,1,<70.0,0,1,PHN201,201
VIC,3460,2013,1,<70.0,1,1,PHN206,206
QLD,4183,2013,1,<70.0,1,1,PHN302,302
QLD,4552,2013,1,<70.0,1,1,PHN306,306
QLD,4890,2013,1,<70.0,1,1,PHN305,305
NSW,2423,2013,2,<70.0,1,1,PHN108,108
NSW,2482,2013,2,<70.0,1,1,PHN109,109
VIC,3000,2013,2,<70.0,0,1,PHN201,201
QLD,4552,2013,2,<70.0,1,1,PHN306,306
NSW,2482,2013,5,<70.0,1,1,PHN109,109
VIC,3000,2013,5,<70.0,1,1,PHN201,201
QLD,4344,2013,5,<70.0,1,1,PHN304,304
WA,6070,2013,5,<70.0,1,1,PHN501,501
NSW,2423,2012,1,<70.0,1,1,PHN108,108
NSW,2454,2012,1,<70.0,0,1,PHN109,109
NSW,2481,2012,1,<70.0,0,1,PHN109,109
NSW,2482,2012,1,<70.0,1,1,PHN109,109
QLD,4552,2012,1,<70.0,1,1,PHN306,306
NSW,2482,2012,2,<70.0,1,1,PHN109,109
NSW,2061,2012,5,<70.0,1,1,PHN102,102
NSW,2481,2012,5,<70.0,0,1,PHN109,109
NSW,2482,2012,5,<70.0,1,1,PHN109,109
VIC,3004,2012,5,<70.0,1,1,PHN203,203
VIC,3006,2012,5,<70.0,1,1,PHN201,201
WA,6004,2012,5,<70.0,1,1,PHN501,501
NSW,2482,2011,1,<70.0,1,1,PHN109,109
NSW,2481,2011,2,<70.0,0,1,PHN109,109
NSW,2482,2011,2,<70.0,1,1,PHN109,109
SA,5172,2011,2,<70.0,1,1,PHN401,401
WA,6333,2011,2,<70.0,1,1,PHN503,503
NSW,2000,2011,5,<70.0,0,1,PHN101,101
NSW,2011,2011,5,<70.0,1,1,PHN101,101
NSW,2481,2011,5,<70.0,0,1,PHN109,109
NSW,2482,2011,5,<70.0,1,1,PHN109,109
NSW,2648,2011,5,<70.0,1,1,PHN107,107
QLD,4552,2011,5,<70.0,1,1,PHN306,306
WA,6000,2011,5,<70.0,1,1,PHN501,501
WA,6765,2011,5,<70.0,1,1,PHN503,503
NSW,2481,2015,1,70.0-74.9,0,2,PHN109,109
NSW,2483,2015,1,70.0-74.9,0,2,PHN109,109
QLD,4552,2015,1,70.0-74.9,1,2,PHN306,306
QLD,4572,2015,1,70.0-74.9,1,2,PHN306,306
NSW,2454,2015,2,70.0-74.9,1,2,PHN109,109
NSW,2481,2015,2,70.0-74.9,0,2,PHN109,109
NSW,2483,2015,2,70.0-74.9,0,2,PHN109,109
VIC,3002,2015,2,70.0-74.9,1,2,PHN201,201
QLD,4881,2015,2,70.0-74.9,1,2,PHN307,307
SA,5172,2015,2,70.0-74.9,1,2,PHN401,401
WA,6159,2015,2,70.0-74.9,1,2,PHN502,502
NSW,2000,2015,5,70.0-74.9,0,2,PHN101,101
NSW,2134,2015,5,70.0-74.9,0,2,PHN101,101
NSW,2481,2015,5,70.0-74.9,0,2,PHN109,109
VIC,3000,2015,5,70.0-74.9,1,2,PHN201,201
VIC,3004,2015,5,70.0-74.9,1,2,PHN203,203
VIC,3461,2015,5,70.0-74.9,1,2,PHN206,206
QLD,4184,2015,5,70.0-74.9,1,2,PHN302,302
NSW,2454,2014,1,70.0-74.9,1,2,PHN109,109
NSW,2483,2014,1,70.0-74.9,0,2,PHN109,109
VIC,3440,2014,1,70.0-74.9,1,2,PHN201,201
VIC,3793,2014,1,70.0-74.9,1,2,PHN202,202
WA,6073,2014,1,70.0-74.9,1,2,PHN501,501
NSW,2061,2014,2,70.0-74.9,1,2,PHN102,102
NSW,2175,2014,2,70.0-74.9,1,2,PHN105,105
NSW,2449,2014,2,70.0-74.9,1,2,PHN109,109
NSW,2454,2014,2,70.0-74.9,1,2,PHN109,109
NSW,2481,2014,2,70.0-74.9,0,2,PHN109,109
VIC,3004,2014,2,70.0-74.9,1,2,PHN203,203
VIC,3435,2014,2,70.0-74.9,1,2,PHN201,201
QLD,4102,2014,2,70.0-74.9,1,2,PHN302,302
QLD,4881,2014,2,70.0-74.9,1,2,PHN307,307
