rlgs_affi_islam_%, sa3_code16, rlgs_affi_other_religions_%, rlgs_affi_inadq_desc_not_stated_%, rlgs_affi_christianity_%, prop_tot_pop_spk_lang_other_eng_home_%, rlgs_affi_buddhism_%, rlgs_affi_hinduism_%, year, sa3_name16, rlgs_affi_judaism_%, rlgs_affi_sec_other_spiritual_no_religoin_%
1.1,"10102",1.1,10.0,56.5,12.0,0.8,1.2,2016,"Queanbeyan",0.1,29.2
0.3,"10103",0.4,12.2,55.7,5.3,1.0,0.1,2016,"Snowy Mountains",0.1,30.3
0.1,"10104",0.4,10.4,54.3,3.4,0.9,0.2,2016,"South Coast",0.1,33.6
0.3,"10105",0.4,10.8,67.0,4.1,0.7,0.3,2016,"Goulburn  Mulwaree",null,20.5
0.9,"10106",0.3,8.7,67.2,3.4,0.4,0.1,2016,"Young  Yass",0.1,22.2
0.3,"10201",0.4,8.3,59.8,6.9,1.1,0.4,2016,"Gosford",0.1,29.5
0.3,"10202",0.4,8.1,63.5,4.8,0.8,0.3,2016,"Wyong",0.1,26.6
0.4,"10301",0.4,11.7,63.7,4.0,0.7,0.4,2016,"Bathurst",null,22.6
0.1,"10302",0.2,10.6,72.3,2.4,0.4,0.2,2016,"Lachlan Valley",null,16.2
0.2,"10303",0.3,12.9,63.3,3.0,0.6,0.2,2016,"Lithgow  Mudgee",null,22.5
0.3,"10304",0.4,8.5,68.6,4.7,0.6,0.5,2016,"Orange",null,21.2
0.1,"10401",0.4,10.4,61.6,2.1,0.7,0.1,2016,"Clarence Valley",null,26.7
0.6,"10402",2.0,10.1,52.9,6.8,1.1,0.3,2016,"Coffs Harbour",0.1,32.9
0.4,"10501",0.3,14.4,66.5,3.3,0.3,0.3,2016,"Bourke  Cobar  Coonamble",null,17.8
0.2,"10502",0.3,11.4,53.3,2.5,0.5,0.2,2016,"Broken Hill and Far West",null,34.1
0.4,"10503",0.4,11.0,68.8,3.9,0.5,0.7,2016,"Dubbo",null,18.1
0.1,"10601",0.3,10.2,63.6,2.1,0.6,0.2,2016,"Lower Hunter",null,25.0
0.4,"10602",0.4,7.3,66.5,4.0,0.6,0.5,2016,"Maitland",null,24.3
0.1,"10603",0.3,9.5,63.2,3.4,0.7,0.2,2016,"Port Stephens",0.1,26.0
0.3,"10604",0.3,10.4,68.2,3.3,0.5,0.3,2016,"Upper Hunter",null,20.0
2.4,"10701",0.3,7.3,64.8,16.9,0.9,0.3,2016,"Dapto  Port Kembla",null,23.9
null,"10702",null,null,null,null,null,null,2016,"Illawarra Catchment Reserve",null,null
0.7,"10703",0.3,7.8,63.9,8.9,0.8,0.2,2016,"Kiama  Shellharbour",null,26.3
2.2,"10704",0.4,8.1,56.0,16.8,1.5,0.8,2016,"Wollongong",0.1,30.9
