Postcode,Electoral division,Per cent,State,Party_Year,Party_Name
0800,Solomon,100,NT,2016,Australian Labor Party
0810,Solomon,100,NT,2016,Australian Labor Party
0812,Solomon,100,NT,2016,Australian Labor Party
0820,Solomon,100,NT,2016,Australian Labor Party
0822,Lingiari,96.1,NT,2016,Australian Labor Party
0822,Solomon,3.9,NT,2016,Australian Labor Party
0828,Solomon,100,NT,2016,Australian Labor Party
0830,Solomon,100,NT,2016,Australian Labor Party
0832,Solomon,100,NT,2016,Australian Labor Party
0835,Lingiari,100,NT,2016,Australian Labor Party
0836,Lingiari,100,NT,2016,Australian Labor Party
0837,Lingiari,100,NT,2016,Australian Labor Party
0838,Lingiari,100,NT,2016,Australian Labor Party
0840,Lingiari,100,NT,2016,Australian Labor Party
0841,Lingiari,100,NT,2016,Australian Labor Party
0845,Lingiari,100,NT,2016,Australian Labor Party
0846,Lingiari,100,NT,2016,Australian Labor Party
0847,Lingiari,100,NT,2016,Australian Labor Party
0850,Lingiari,100,NT,2016,Australian Labor Party
0852,Lingiari,100,NT,2016,Australian Labor Party
0853,Lingiari,100,NT,2016,Australian Labor Party
0854,Lingiari,100,NT,2016,Australian Labor Party
0860,Lingiari,100,NT,2016,Australian Labor Party
0862,Lingiari,100,NT,2016,Australian Labor Party
0870,Lingiari,100,NT,2016,Australian Labor Party
0872,Grey,11.4,SA,2016,Liberal
0872,Lingiari,88.6,NT,2016,Australian Labor Party
0880,Lingiari,100,NT,2016,Australian Labor Party
0885,Lingiari,100,NT,2016,Australian Labor Party
0886,Lingiari,100,NT,2016,Australian Labor Party
2000,Sydney,100,NSW,2016,Australian Labor Party
2006,Sydney,100,NSW,2016,Australian Labor Party
2007,Sydney,100,NSW,2016,Australian Labor Party
2008,Sydney,100,NSW,2016,Australian Labor Party
2009,Sydney,100,NSW,2016,Australian Labor Party
2010,Sydney,100,NSW,2016,Australian Labor Party
2011,Sydney,100,NSW,2016,Australian Labor Party
2015,Sydney,100,NSW,2016,Australian Labor Party
2016,Sydney,100,NSW,2016,Australian Labor Party
2017,Sydney,100,NSW,2016,Australian Labor Party
2018,Kingsford Smith,69.5,NSW,2016,Australian Labor Party
2018,Sydney,30.5,NSW,2016,Australian Labor Party
2019,Kingsford Smith,100,NSW,2016,Australian Labor Party
2020,Kingsford Smith,100,NSW,2016,Australian Labor Party
2021,Sydney,34.4,NSW,2016,Australian Labor Party
2021,Wentworth,65.6,NSW,2016,Liberal
2022,Wentworth,100,NSW,2016,Liberal
2023,Wentworth,100,NSW,2016,Liberal
2024,Wentworth,100,NSW,2016,Liberal
2025,Wentworth,100,NSW,2016,Liberal
2026,Wentworth,100,NSW,2016,Liberal
2027,Wentworth,100,NSW,2016,Liberal
2028,Wentworth,100,NSW,2016,Liberal
2029,Wentworth,100,NSW,2016,Liberal
2030,Wentworth,100,NSW,2016,Liberal
2031,Kingsford Smith,42.4,NSW,2016,Australian Labor Party
2031,Wentworth,57.6,NSW,2016,Liberal
2032,Kingsford Smith,100,NSW,2016,Australian Labor Party
2033,Kingsford Smith,100,NSW,2016,Australian Labor Party
2034,Kingsford Smith,100,NSW,2016,Australian Labor Party
2035,Kingsford Smith,100,NSW,2016,Australian Labor Party
2036,Kingsford Smith,100,NSW,2016,Australian Labor Party
2037,Sydney,100,NSW,2016,Australian Labor Party
2038,Grayndler,73.6,NSW,2016,Australian Labor Party
2038,Sydney,26.4,NSW,2016,Australian Labor Party
2039,Sydney,100,NSW,2016,Australian Labor Party
2040,Grayndler,100,NSW,2016,Australian Labor Party
2041,Sydney,100,NSW,2016,Australian Labor Party
2042,Grayndler,58,NSW,2016,Australian Labor Party
2042,Sydney,42,NSW,2016,Australian Labor Party
2043,Sydney,100,NSW,2016,Australian Labor Party
2044,Grayndler,100,NSW,2016,Australian Labor Party
2045,Lowe,100,NA,2016,NA
2046,Lowe,100,NA,2016,NA
2047,Lowe,100,NA,2016,NA
2048,Grayndler,100,NSW,2016,Australian Labor Party
2049,Grayndler,100,NSW,2016,Australian Labor Party
2050,Grayndler,65.3,NSW,2016,Australian Labor Party
2050,Sydney,34.7,NSW,2016,Australian Labor Party
2060,North Sydney,100,NSW,2016,Liberal
2061,North Sydney,100,NSW,2016,Liberal
2062,North Sydney,100,NSW,2016,Liberal
2063,North Sydney,100,NSW,2016,Liberal
2064,North Sydney,100,NSW,2016,Liberal
2065,North Sydney,100,NSW,2016,Liberal
2066,Bradfield,7.8,NSW,2016,Liberal
2066,North Sydney,92.2,NSW,2016,Liberal
2067,Bradfield,100,NSW,2016,Liberal
2068,Bradfield,15.1,NSW,2016,Liberal
2068,North Sydney,84.9,NSW,2016,Liberal
2069,Bradfield,100,NSW,2016,Liberal
2070,Bradfield,100,NSW,2016,Liberal
2071,Bradfield,100,NSW,2016,Liberal
2072,Bradfield,100,NSW,2016,Liberal
2073,Bradfield,100,NSW,2016,Liberal
2074,Bradfield,100,NSW,2016,Liberal
2075,Bradfield,100,NSW,2016,Liberal
2076,Berowra,40,NSW,2016,Liberal
2076,Bradfield,60,NSW,2016,Liberal
2077,Berowra,100,NSW,2016,Liberal
2079,Berowra,100,NSW,2016,Liberal
2080,Berowra,100,NSW,2016,Liberal
2081,Berowra,100,NSW,2016,Liberal
2082,Berowra,100,NSW,2016,Liberal
2083,Berowra,60.9,NSW,2016,Liberal
2083,Robertson,39.1,NSW,2016,Liberal
2084,Mackellar,100,NSW,2016,Liberal
2085,Mackellar,100,NSW,2016,Liberal
2086,Mackellar,84.6,NSW,2016,Liberal
2086,Warringah,15.4,NSW,2016,Liberal
2087,Warringah,100,NSW,2016,Liberal
2088,Warringah,100,NSW,2016,Liberal
2089,North Sydney,100,NSW,2016,Liberal
2090,North Sydney,100,NSW,2016,Liberal
2092,Warringah,100,NSW,2016,Liberal
2093,Warringah,100,NSW,2016,Liberal
2094,Warringah,100,NSW,2016,Liberal
2095,Warringah,100,NSW,2016,Liberal
2096,Warringah,100,NSW,2016,Liberal
2097,Mackellar,100,NSW,2016,Liberal
2099,Mackellar,59.8,NSW,2016,Liberal
2099,Warringah,40.2,NSW,2016,Liberal
2100,Mackellar,22.6,NSW,2016,Liberal
2100,Warringah,77.4,NSW,2016,Liberal
2101,Mackellar,100,NSW,2016,Liberal
2102,Mackellar,100,NSW,2016,Liberal
2103,Mackellar,100,NSW,2016,Liberal
2104,Mackellar,100,NSW,2016,Liberal
2105,Mackellar,100,NSW,2016,Liberal
2106,Mackellar,100,NSW,2016,Liberal
2107,Mackellar,100,NSW,2016,Liberal
2108,Mackellar,100,NSW,2016,Liberal
2109,Bennelong,100,NSW,2016,Liberal
2110,North Sydney,100,NSW,2016,Liberal
2111,Bennelong,76.8,NSW,2016,Liberal
2111,North Sydney,23.2,NSW,2016,Liberal
2112,Bennelong,100,NSW,2016,Liberal
2113,Bennelong,100,NSW,2016,Liberal
2114,Bennelong,100,NSW,2016,Liberal
2115,Parramatta,100,NSW,2016,Australian Labor Party
2116,Parramatta,100,NSW,2016,Australian Labor Party
2117,Parramatta,100,NSW,2016,Australian Labor Party
2118,Bennelong,25.8,NSW,2016,Liberal
2118,Mitchell,15,NSW,2016,Liberal
2118,Parramatta,59.2,NSW,2016,Australian Labor Party
2119,Berowra,100,NSW,2016,Liberal
2120,Berowra,100,NSW,2016,Liberal
2121,Bennelong,100,NSW,2016,Liberal
2122,Bennelong,100,NSW,2016,Liberal
2123,Parramatta,100,NSW,2016,Australian Labor Party
2125,Berowra,20.3,NSW,2016,Liberal
2125,Mitchell,79.7,NSW,2016,Liberal
2126,Berowra,100,NSW,2016,Liberal
2127,Reid,100,NSW,2016,Liberal
2128,Reid,100,NSW,2016,Liberal
2129,Lowe,100,NA,2016,NA
2130,Grayndler,100,NSW,2016,Australian Labor Party
2131,Grayndler,68.1,NSW,2016,Australian Labor Party
2131,Lowe,31.9,NA,2016,NA
2132,Lowe,100,NA,2016,NA
2133,Grayndler,10.2,NSW,2016,Australian Labor Party
2133,Lowe,42.2,NA,2016,NA
2133,Watson,47.6,NSW,2016,Australian Labor Party
2134,Lowe,100,NA,2016,NA
2135,Lowe,100,NA,2016,NA
2136,Blaxland,47.2,NSW,2016,Australian Labor Party
2136,Lowe,52.8,NA,2016,NA
2137,Lowe,100,NA,2016,NA
2138,Lowe,100,NA,2016,NA
2139,Lowe,100,NA,2016,NA
2140,Lowe,93.3,NA,2016,NA
2140,Reid,6.7,NSW,2016,Liberal
2141,Reid,100,NSW,2016,Liberal
2142,Parramatta,19.2,NSW,2016,Australian Labor Party
2142,Reid,80.8,NSW,2016,Liberal
2143,Blaxland,44.2,NSW,2016,Australian Labor Party
2143,Reid,55.8,NSW,2016,Liberal
2144,Reid,100,NSW,2016,Liberal
2145,Parramatta,59.1,NSW,2016,Australian Labor Party
2145,Prospect,32.8,NA,2016,NA
2145,Reid,8.1,NSW,2016,Liberal
2146,Greenway,27.4,NSW,2016,Australian Labor Party
2146,Parramatta,72.6,NSW,2016,Australian Labor Party
2147,Greenway,100,NSW,2016,Australian Labor Party
2148,Chifley,18,NSW,2016,Australian Labor Party
2148,Greenway,80.4,NSW,2016,Australian Labor Party
2148,Prospect,1.5,NA,2016,NA
2150,Parramatta,100,NSW,2016,Australian Labor Party
2151,Mitchell,39.6,NSW,2016,Liberal
2151,Parramatta,60.4,NSW,2016,Australian Labor Party
2152,Mitchell,45.6,NSW,2016,Liberal
2152,Parramatta,54.4,NSW,2016,Australian Labor Party
2153,Mitchell,77.6,NSW,2016,Liberal
2153,Parramatta,22.4,NSW,2016,Australian Labor Party
2154,Mitchell,100,NSW,2016,Liberal
2155,Greenway,8,NSW,2016,Australian Labor Party
