POA_CODE_2011,POA_CODE_2011,PHN_CODE,PHN_NAME,RATIO,PERCENTAGE
800,800,PHN701,Northern Territory,1,100
810,810,PHN701,Northern Territory,1,100
812,812,PHN701,Northern Territory,1,100
820,820,PHN701,Northern Territory,1,100
822,822,PHN701,Northern Territory,1,100
828,828,PHN701,Northern Territory,1,100
829,829,PHN701,Northern Territory,1,100
830,830,PHN701,Northern Territory,1,100
832,832,PHN701,Northern Territory,1,100
835,835,PHN701,Northern Territory,1,100
836,836,PHN701,Northern Territory,1,100
837,837,PHN701,Northern Territory,1,100
838,838,PHN701,Northern Territory,1,100
840,840,PHN701,Northern Territory,1,100
841,841,PHN701,Northern Territory,1,100
845,845,PHN701,Northern Territory,1,100
846,846,PHN701,Northern Territory,1,100
847,847,PHN701,Northern Territory,1,100
850,850,PHN701,Northern Territory,1,100
852,852,PHN701,Northern Territory,1,100
853,853,PHN701,Northern Territory,1,100
854,854,PHN701,Northern Territory,1,100
860,860,PHN701,Northern Territory,1,100
862,862,PHN701,Northern Territory,1,100
870,870,PHN701,Northern Territory,1,100
872,872,PHN402,Country SA,0.1141708,11.417081
872,872,PHN503,Country WA,0.0907155,9.0715501
872,872,PHN701,Northern Territory,0.7951137,79.5113689
880,880,PHN701,Northern Territory,1,100
885,885,PHN701,Northern Territory,1,100
886,886,PHN701,Northern Territory,1,100
2000,2000,PHN101,Central and Eastern Sydney,1,100
2006,2006,PHN101,Central and Eastern Sydney,1,100
2007,2007,PHN101,Central and Eastern Sydney,1,100
2008,2008,PHN101,Central and Eastern Sydney,1,100
2009,2009,PHN101,Central and Eastern Sydney,1,100
2010,2010,PHN101,Central and Eastern Sydney,1,100
2011,2011,PHN101,Central and Eastern Sydney,1,100
2015,2015,PHN101,Central and Eastern Sydney,1,100
2016,2016,PHN101,Central and Eastern Sydney,1,100
2017,2017,PHN101,Central and Eastern Sydney,1,100
2018,2018,PHN101,Central and Eastern Sydney,1,100
2019,2019,PHN101,Central and Eastern Sydney,1,100
2020,2020,PHN101,Central and Eastern Sydney,1,100
2021,2021,PHN101,Central and Eastern Sydney,1,100
2022,2022,PHN101,Central and Eastern Sydney,1,100
2023,2023,PHN101,Central and Eastern Sydney,1,100
2024,2024,PHN101,Central and Eastern Sydney,1,100
2025,2025,PHN101,Central and Eastern Sydney,1,100
2026,2026,PHN101,Central and Eastern Sydney,1,100
2027,2027,PHN101,Central and Eastern Sydney,1,100
2028,2028,PHN101,Central and Eastern Sydney,1,100
2029,2029,PHN101,Central and Eastern Sydney,1,100
2030,2030,PHN101,Central and Eastern Sydney,1,100
2031,2031,PHN101,Central and Eastern Sydney,1,100
2032,2032,PHN101,Central and Eastern Sydney,1,100
2033,2033,PHN101,Central and Eastern Sydney,1,100
2034,2034,PHN101,Central and Eastern Sydney,1,100
2035,2035,PHN101,Central and Eastern Sydney,1,100
2036,2036,PHN101,Central and Eastern Sydney,1,100
2037,2037,PHN101,Central and Eastern Sydney,1,100
2038,2038,PHN101,Central and Eastern Sydney,1,100
2039,2039,PHN101,Central and Eastern Sydney,1,100
2040,2040,PHN101,Central and Eastern Sydney,1,100
2041,2041,PHN101,Central and Eastern Sydney,1,100
2042,2042,PHN101,Central and Eastern Sydney,1,100
2043,2043,PHN101,Central and Eastern Sydney,1,100
2044,2044,PHN101,Central and Eastern Sydney,1,100
2045,2045,PHN101,Central and Eastern Sydney,1,100
2046,2046,PHN101,Central and Eastern Sydney,1,100
2047,2047,PHN101,Central and Eastern Sydney,1,100
2048,2048,PHN101,Central and Eastern Sydney,1,100
2049,2049,PHN101,Central and Eastern Sydney,1,100
2050,2050,PHN101,Central and Eastern Sydney,1,100
2052,2052,PHN101,Central and Eastern Sydney,1,100
2060,2060,PHN102,Northern Sydney,1,100
2061,2061,PHN102,Northern Sydney,1,100
2062,2062,PHN102,Northern Sydney,1,100
2063,2063,PHN102,Northern Sydney,1,100
2064,2064,PHN102,Northern Sydney,1,100
2065,2065,PHN102,Northern Sydney,1,100
2066,2066,PHN102,Northern Sydney,1,100
2067,2067,PHN102,Northern Sydney,1,100
2068,2068,PHN102,Northern Sydney,1,100
2069,2069,PHN102,Northern Sydney,1,100
2070,2070,PHN102,Northern Sydney,1,100
2071,2071,PHN102,Northern Sydney,1,100
2072,2072,PHN102,Northern Sydney,1,100
2073,2073,PHN102,Northern Sydney,1,100
2074,2074,PHN102,Northern Sydney,1,100
2075,2075,PHN102,Northern Sydney,1,100
2076,2076,PHN102,Northern Sydney,1,100
2077,2077,PHN102,Northern Sydney,1,100
2079,2079,PHN102,Northern Sydney,1,100
2080,2080,PHN102,Northern Sydney,1,100
2081,2081,PHN102,Northern Sydney,1,100
2082,2082,PHN102,Northern Sydney,1,100
2083,2083,PHN102,Northern Sydney,0.7268629,72.6862919
2083,2083,PHN108,Hunter New England and Central Coast,0.2731371,27.3137081
2084,2084,PHN102,Northern Sydney,1,100
2085,2085,PHN102,Northern Sydney,1,100
2086,2086,PHN102,Northern Sydney,1,100
2087,2087,PHN102,Northern Sydney,1,100
2088,2088,PHN102,Northern Sydney,1,100
2089,2089,PHN102,Northern Sydney,1,100
2090,2090,PHN102,Northern Sydney,1,100
2092,2092,PHN102,Northern Sydney,1,100
2093,2093,PHN102,Northern Sydney,1,100
2094,2094,PHN102,Northern Sydney,1,100
2095,2095,PHN102,Northern Sydney,1,100
2096,2096,PHN102,Northern Sydney,1,100
2097,2097,PHN102,Northern Sydney,1,100
2099,2099,PHN102,Northern Sydney,1,100
2100,2100,PHN102,Northern Sydney,1,100
2101,2101,PHN102,Northern Sydney,1,100
2102,2102,PHN102,Northern Sydney,1,100
2103,2103,PHN102,Northern Sydney,1,100
2104,2104,PHN102,Northern Sydney,1,100
2105,2105,PHN102,Northern Sydney,1,100
2106,2106,PHN102,Northern Sydney,1,100
2107,2107,PHN102,Northern Sydney,1,100
2108,2108,PHN102,Northern Sydney,1,100
2109,2109,PHN102,Northern Sydney,1,100
2110,2110,PHN102,Northern Sydney,1,100
2111,2111,PHN102,Northern Sydney,1,100
2112,2112,PHN102,Northern Sydney,1,100
2113,2113,PHN102,Northern Sydney,1,100
2114,2114,PHN102,Northern Sydney,0.9998133,99.9813347
2114,2114,PHN103,Western Sydney,0.0001867,0.0186653
2115,2115,PHN103,Western Sydney,1,100
2116,2116,PHN103,Western Sydney,1,100
2117,2117,PHN103,Western Sydney,1,100
2118,2118,PHN102,Northern Sydney,0.148792,14.8792047
2118,2118,PHN103,Western Sydney,0.851208,85.1207953
2119,2119,PHN102,Northern Sydney,1,100
2120,2120,PHN102,Northern Sydney,1,100
2121,2121,PHN102,Northern Sydney,0.7062146,70.6214558
2121,2121,PHN103,Western Sydney,0.2937854,29.3785442
2122,2122,PHN102,Northern Sydney,0.901976,90.1975996
2122,2122,PHN103,Western Sydney,0.098024,9.8024004
2125,2125,PHN102,Northern Sydney,0.2204549,22.0454902
2125,2125,PHN103,Western Sydney,0.7795451,77.9545098
2126,2126,PHN102,Northern Sydney,1,100
2127,2127,PHN103,Western Sydney,1,100
2128,2128,PHN103,Western Sydney,1,100
2129,2129,PHN101,Central and Eastern Sydney,1,100
2130,2130,PHN101,Central and Eastern Sydney,1,100
2131,2131,PHN101,Central and Eastern Sydney,1,100
2132,2132,PHN101,Central and Eastern Sydney,1,100
2133,2133,PHN101,Central and Eastern Sydney,1,100
2134,2134,PHN101,Central and Eastern Sydney,1,100
2135,2135,PHN101,Central and Eastern Sydney,1,100
2136,2136,PHN101,Central and Eastern Sydney,1,100
